,Wave Number0,Intensity0,Wave Number1,Intensity1,Wave Number2,Intensity2,Wave Number3,Intensity3,Wave Number4,Intensity4,Wave Number5,Intensity5,Wave Number6,Intensity6,Wave Number7,Intensity7,Wave Number8,Intensity8,Wave Number9,Intensity9,Wave Number10,Intensity10,Wave Number11,Intensity11,Wave Number12,Intensity12,Wave Number13,Intensity13,Wave Number14,Intensity14,Wave Number15,Intensity15,Wave Number16,Intensity16,Wave Number17,Intensity17,Wave Number18,Intensity18,Wave Number19,Intensity19,Wave Number20,Intensity20,Wave Number21,Intensity21,Wave Number22,Intensity22,Wave Number23,Intensity23,Wave Number24,Intensity24,Wave Number25,Intensity25,Wave Number26,Intensity26,Wave Number27,Intensity27,Wave Number28,Intensity28,Wave Number29,Intensity29,Wave Number30,Intensity30,Wave Number31,Intensity31,Wave Number32,Intensity32,Wave Number33,Intensity33,Wave Number34,Intensity34,Wave Number35,Intensity35,Wave Number36,Intensity36,Wave Number37,Intensity37,Wave Number38,Intensity38,Wave Number39,Intensity39,Wave Number40,Intensity40,Wave Number41,Intensity41,Wave Number42,Intensity42,Wave Number43,Intensity43,Wave Number44,Intensity44,Wave Number45,Intensity45,Wave Number46,Intensity46,Wave Number47,Intensity47,Wave Number48,Intensity48,Wave Number49,Intensity49,Wave Number50,Intensity50,Wave Number51,Intensity51,Wave Number52,Intensity52,Wave Number53,Intensity53,Wave Number54,Intensity54,Wave Number55,Intensity55,Wave Number56,Intensity56,Wave Number57,Intensity57,Wave Number58,Intensity58,Wave Number59,Intensity59,Wave Number60,Intensity60,Wave Number61,Intensity61,Wave Number62,Intensity62,Wave Number63,Intensity63,Wave Number64,Intensity64,Wave Number65,Intensity65,Wave Number66,Intensity66,Wave Number67,Intensity67,Wave Number68,Intensity68,Wave Number69,Intensity69,Wave Number70,Intensity70,Wave Number71,Intensity71,Wave Number72,Intensity72,Wave Number73,Intensity73,Wave Number74,Intensity74,Wave Number75,Intensity75,Wave Number76,Intensity76,Wave Number77,Intensity77,Wave Number78,Intensity78,Wave Number79,Intensity79,Wave Number80,Intensity80,Wave Number81,Intensity81,Wave Number82,Intensity82,Wave Number83,Intensity83,Wave Number84,Intensity84,Wave Number85,Intensity85,Wave Number86,Intensity86,Wave Number87,Intensity87,Wave Number88,Intensity88,Wave Number89,Intensity89,Wave Number90,Intensity90,Wave Number91,Intensity91,Wave Number92,Intensity92,Wave Number93,Intensity93,Wave Number94,Intensity94,Wave Number95,Intensity95,Wave Number96,Intensity96,Wave Number97,Intensity97,Wave Number98,Intensity98,Wave Number99,Intensity99,Wave Number100,Intensity100,Wave Number101,Intensity101,Wave Number102,Intensity102,Wave Number103,Intensity103,Wave Number104,Intensity104,Wave Number105,Intensity105,Wave Number106,Intensity106,Wave Number107,Intensity107,Wave Number108,Intensity108,Wave Number109,Intensity109,Wave Number110,Intensity110,Wave Number111,Intensity111,Wave Number112,Intensity112,Wave Number113,Intensity113,Wave Number114,Intensity114
0,399.45391,1.42139,399.45391,1.39645,399.45391,1.48092,399.45391,1.45504,399.45391,1.47252,399.45391,1.4508,399.45391,1.45564,399.45391,1.46872,399.45391,1.46627,399.45391,1.51097,399.45391,1.46379,399.45391,1.62166,399.45391,1.65027,399.45391,1.69551,399.45391,1.65769,399.45391,1.53682,399.45391,1.77313,399.45391,1.61531,399.45391,1.59106,399.45391,1.61045,399.45391,1.65486,399.45391,1.67171,399.45391,1.72327,399.45391,1.64743,399.45391,1.64807,399.45391,1.64546,399.45391,1.48919,399.45391,1.48022,399.45391,1.51109,399.45391,1.6302,399.45391,1.45307,399.45391,1.45741,399.45391,1.43911,399.45391,1.46861,399.45391,1.50932,399.45391,1.4729,399.45391,1.47013,399.45391,1.67273,399.45391,1.6083,399.45391,1.39473,399.45391,1.44968,399.45391,1.43754,399.45391,1.44423,399.45391,1.44318,399.45391,1.43503,399.45391,1.39377,399.45391,1.45352,399.45391,1.42968,399.45391,1.43324,399.45391,1.715,399.45391,1.72168,399.45391,2.09433,399.45391,1.92579,399.45391,1.80363,399.45391,1.89451,399.45391,1.80067,399.45391,1.85123,399.45391,1.65814,399.45391,1.8221,399.45391,2.13321,399.45391,1.78529,399.45391,1.56325,399.45391,1.54664,399.45391,1.5512,399.45391,1.87396,399.45391,1.57024,399.45391,1.55526,399.45391,1.58011,399.45391,1.5095,399.45391,1.56124,399.45391,1.55047,399.45391,1.53704,399.45391,1.42149,399.45391,1.46017,399.45391,1.45372,399.45391,1.44399,399.45391,1.46701,399.45391,1.4851,399.45391,1.49873,399.45391,1.4752,399.45391,1.48615,399.45391,1.51861,399.45391,1.73539,399.45391,1.92866,399.45391,1.88302,399.45391,1.84996,399.45391,1.88153,399.45391,1.85953,399.45391,1.85463,399.45391,1.78277,399.45391,1.8064,399.45391,1.8018,399.45391,1.81558,399.45391,1.74115,399.45391,1.5722,399.45391,1.5329,399.45391,1.58267,399.45391,1.79249,399.45391,1.55252,399.45391,1.55033,399.45391,1.54037,399.45391,1.54821,399.45391,1.5428,399.45391,1.53684,399.45391,1.54537,399.45391,1.49267,399.45391,1.4891,399.45391,1.51902,399.45391,1.59141,399.45391,1.54573,399.45391,1.54116,399.45391,1.52548,399.45391,1.53265,399.45391,1.50264,399.45391,1.54115
1,399.21284,1.42504,399.21284,1.38976,399.21284,1.48074,399.21284,1.47009,399.21284,1.46987,399.21284,1.46565,399.21284,1.45563,399.21284,1.45536,399.21284,1.47556,399.21284,1.50709,399.21284,1.45546,399.21284,1.63298,399.21284,1.65484,399.21284,1.70553,399.21284,1.65354,399.21284,1.59747,399.21284,1.72438,399.21284,1.66266,399.21284,1.60126,399.21284,1.59135,399.21284,1.64934,399.21284,1.66393,399.21284,1.7151,399.21284,1.66394,399.21284,1.66721,399.21284,1.63371,399.21284,1.47849,399.21284,1.48983,399.21284,1.50444,399.21284,1.66166,399.21284,1.4529,399.21284,1.45867,399.21284,1.43833,399.21284,1.47853,399.21284,1.50852,399.21284,1.47186,399.21284,1.46983,399.21284,1.63817,399.21284,1.60274,399.21284,1.38585,399.21284,1.46004,399.21284,1.44216,399.21284,1.43997,399.21284,1.43657,399.21284,1.44756,399.21284,1.38744,399.21284,1.46105,399.21284,1.42525,399.21284,1.4452,399.21284,1.69442,399.21284,1.78023,399.21284,2.04778,399.21284,1.91641,399.21284,1.82393,399.21284,1.95211,399.21284,1.88282,399.21284,1.91972,399.21284,1.65225,399.21284,1.88819,399.21284,2.17658,399.21284,1.78893,399.21284,1.56692,399.21284,1.54471,399.21284,1.54199,399.21284,1.86862,399.21284,1.56091,399.21284,1.5433,399.21284,1.56952,399.21284,1.50991,399.21284,1.55185,399.21284,1.5342,399.21284,1.5494,399.21284,1.43603,399.21284,1.46539,399.21284,1.45198,399.21284,1.44576,399.21284,1.49103,399.21284,1.48567,399.21284,1.49629,399.21284,1.46766,399.21284,1.48433,399.21284,1.51635,399.21284,1.75031,399.21284,1.92658,399.21284,1.92554,399.21284,1.88163,399.21284,1.83894,399.21284,1.94156,399.21284,1.78603,399.21284,1.74757,399.21284,1.83591,399.21284,1.79029,399.21284,1.87712,399.21284,1.73198,399.21284,1.56927,399.21284,1.54151,399.21284,1.58734,399.21284,1.75471,399.21284,1.53652,399.21284,1.54447,399.21284,1.54635,399.21284,1.54315,399.21284,1.56363,399.21284,1.53378,399.21284,1.56654,399.21284,1.50656,399.21284,1.48431,399.21284,1.51698,399.21284,1.58347,399.21284,1.53519,399.21284,1.54882,399.21284,1.52646,399.21284,1.52581,399.21284,1.51024,399.21284,1.54871
2,398.97177,1.42339,398.97177,1.39146,398.97177,1.48422,398.97177,1.48369,398.97177,1.46907,398.97177,1.47597,398.97177,1.45231,398.97177,1.44922,398.97177,1.48612,398.97177,1.49697,398.97177,1.45463,398.97177,1.64349,398.97177,1.66542,398.97177,1.72705,398.97177,1.66895,398.97177,1.66672,398.97177,1.6641,398.97177,1.7196,398.97177,1.59909,398.97177,1.60136,398.97177,1.64402,398.97177,1.6212,398.97177,1.68848,398.97177,1.65555,398.97177,1.65991,398.97177,1.62911,398.97177,1.47392,398.97177,1.47965,398.97177,1.48795,398.97177,1.68236,398.97177,1.44958,398.97177,1.46233,398.97177,1.44354,398.97177,1.48121,398.97177,1.48966,398.97177,1.47297,398.97177,1.48231,398.97177,1.61303,398.97177,1.6179,398.97177,1.37884,398.97177,1.45216,398.97177,1.44944,398.97177,1.44023,398.97177,1.43397,398.97177,1.44982,398.97177,1.39545,398.97177,1.45774,398.97177,1.42552,398.97177,1.45799,398.97177,1.66571,398.97177,1.85871,398.97177,1.99682,398.97177,1.87366,398.97177,1.87184,398.97177,1.96439,398.97177,1.90235,398.97177,2.00149,398.97177,1.70106,398.97177,1.9434,398.97177,2.1303,398.97177,1.79048,398.97177,1.57359,398.97177,1.54947,398.97177,1.53585,398.97177,1.84558,398.97177,1.552,398.97177,1.52612,398.97177,1.55826,398.97177,1.52021,398.97177,1.5503,398.97177,1.53529,398.97177,1.55229,398.97177,1.44816,398.97177,1.47424,398.97177,1.45443,398.97177,1.44794,398.97177,1.51127,398.97177,1.48085,398.97177,1.49207,398.97177,1.46818,398.97177,1.48998,398.97177,1.51165,398.97177,1.75299,398.97177,1.91491,398.97177,1.91036,398.97177,1.90762,398.97177,1.82459,398.97177,1.92372,398.97177,1.76137,398.97177,1.755,398.97177,1.89706,398.97177,1.76179,398.97177,1.91349,398.97177,1.74212,398.97177,1.56,398.97177,1.54864,398.97177,1.57527,398.97177,1.73704,398.97177,1.5157,398.97177,1.53624,398.97177,1.55437,398.97177,1.53538,398.97177,1.60078,398.97177,1.53969,398.97177,1.5831,398.97177,1.52257,398.97177,1.48369,398.97177,1.51664,398.97177,1.55867,398.97177,1.51923,398.97177,1.55291,398.97177,1.5177,398.97177,1.51476,398.97177,1.51985,398.97177,1.55857
3,398.7307,1.41679,398.7307,1.4005,398.7307,1.48614,398.7307,1.48833,398.7307,1.46281,398.7307,1.47445,398.7307,1.45335,398.7307,1.45366,398.7307,1.49502,398.7307,1.48052,398.7307,1.45434,398.7307,1.64659,398.7307,1.66461,398.7307,1.74386,398.7307,1.68493,398.7307,1.71199,398.7307,1.62703,398.7307,1.75068,398.7307,1.5979,398.7307,1.6164,398.7307,1.64081,398.7307,1.57198,398.7307,1.66974,398.7307,1.64458,398.7307,1.63578,398.7307,1.6424,398.7307,1.47044,398.7307,1.46076,398.7307,1.4756,398.7307,1.68349,398.7307,1.44627,398.7307,1.46812,398.7307,1.4511,398.7307,1.47022,398.7307,1.46393,398.7307,1.47682,398.7307,1.49172,398.7307,1.61086,398.7307,1.65617,398.7307,1.37667,398.7307,1.43616,398.7307,1.46019,398.7307,1.44049,398.7307,1.44027,398.7307,1.44761,398.7307,1.41729,398.7307,1.44776,398.7307,1.42854,398.7307,1.46596,398.7307,1.66195,398.7307,1.90992,398.7307,1.98219,398.7307,1.84145,398.7307,1.9233,398.7307,1.89675,398.7307,1.83815,398.7307,2.06048,398.7307,1.76559,398.7307,1.92073,398.7307,2.03446,398.7307,1.79603,398.7307,1.57279,398.7307,1.55879,398.7307,1.52899,398.7307,1.82847,398.7307,1.54889,398.7307,1.51209,398.7307,1.55405,398.7307,1.53135,398.7307,1.56145,398.7307,1.55022,398.7307,1.55084,398.7307,1.44814,398.7307,1.48314,398.7307,1.45958,398.7307,1.44997,398.7307,1.51894,398.7307,1.47615,398.7307,1.49006,398.7307,1.47251,398.7307,1.49909,398.7307,1.50483,398.7307,1.76553,398.7307,1.91676,398.7307,1.86491,398.7307,1.90639,398.7307,1.85901,398.7307,1.8322,398.7307,1.78059,398.7307,1.80204,398.7307,1.94381,398.7307,1.73802,398.7307,1.91859,398.7307,1.78097,398.7307,1.55435,398.7307,1.55746,398.7307,1.55017,398.7307,1.7473,398.7307,1.51663,398.7307,1.52858,398.7307,1.55535,398.7307,1.53023,398.7307,1.62718,398.7307,1.54967,398.7307,1.58351,398.7307,1.52123,398.7307,1.48844,398.7307,1.51577,398.7307,1.53166,398.7307,1.50522,398.7307,1.55417,398.7307,1.50563,398.7307,1.51062,398.7307,1.53171,398.7307,1.55994
4,398.48963,1.40918,398.48963,1.40737,398.48963,1.48169,398.48963,1.48627,398.48963,1.44931,398.48963,1.46647,398.48963,1.46265,398.48963,1.46503,398.48963,1.49664,398.48963,1.46615,398.48963,1.44796,398.48963,1.64717,398.48963,1.64172,398.48963,1.74974,398.48963,1.66162,398.48963,1.70747,398.48963,1.61255,398.48963,1.7317,398.48963,1.60521,398.48963,1.60918,398.48963,1.63385,398.48963,1.54299,398.48963,1.66274,398.48963,1.64721,398.48963,1.62388,398.48963,1.6789,398.48963,1.46066,398.48963,1.45052,398.48963,1.47318,398.48963,1.67959,398.48963,1.44602,398.48963,1.47833,398.48963,1.45825,398.48963,1.45063,398.48963,1.45151,398.48963,1.48532,398.48963,1.48685,398.48963,1.63181,398.48963,1.69331,398.48963,1.3802,398.48963,1.42626,398.48963,1.47021,398.48963,1.43495,398.48963,1.45041,398.48963,1.44938,398.48963,1.44116,398.48963,1.4426,398.48963,1.43085,398.48963,1.46581,398.48963,1.68499,398.48963,1.93928,398.48963,1.9887,398.48963,1.83825,398.48963,1.91186,398.48963,1.81441,398.48963,1.80995,398.48963,2.03695,398.48963,1.79393,398.48963,1.84993,398.48963,1.94615,398.48963,1.83265,398.48963,1.56582,398.48963,1.5686,398.48963,1.52402,398.48963,1.82343,398.48963,1.55402,398.48963,1.49995,398.48963,1.55734,398.48963,1.53547,398.48963,1.5773,398.48963,1.56854,398.48963,1.55156,398.48963,1.43818,398.48963,1.4844,398.48963,1.46259,398.48963,1.45502,398.48963,1.5174,398.48963,1.47453,398.48963,1.49125,398.48963,1.47619,398.48963,1.50409,398.48963,1.49771,398.48963,1.7985,398.48963,1.94138,398.48963,1.85126,398.48963,1.88049,398.48963,1.95924,398.48963,1.78853,398.48963,1.81631,398.48963,1.84545,398.48963,1.91455,398.48963,1.7362,398.48963,1.90612,398.48963,1.83031,398.48963,1.56046,398.48963,1.56657,398.48963,1.53098,398.48963,1.77895,398.48963,1.54865,398.48963,1.52551,398.48963,1.551,398.48963,1.53111,398.48963,1.62918,398.48963,1.56888,398.48963,1.57023,398.48963,1.50636,398.48963,1.50131,398.48963,1.51304,398.48963,1.51432,398.48963,1.50598,398.48963,1.55103,398.48963,1.49611,398.48963,1.52185,398.48963,1.54439,398.48963,1.55351
5,398.24856,1.40252,398.24856,1.40884,398.24856,1.47376,398.24856,1.48472,398.24856,1.43644,398.24856,1.46145,398.24856,1.4742,398.24856,1.4747,398.24856,1.48864,398.24856,1.46012,398.24856,1.43946,398.24856,1.64989,398.24856,1.60104,398.24856,1.74317,398.24856,1.61109,398.24856,1.67524,398.24856,1.59771,398.24856,1.67722,398.24856,1.62166,398.24856,1.5948,398.24856,1.62,398.24856,1.53681,398.24856,1.65381,398.24856,1.65617,398.24856,1.63599,398.24856,1.73293,398.24856,1.45252,398.24856,1.45154,398.24856,1.47609,398.24856,1.68906,398.24856,1.44826,398.24856,1.49133,398.24856,1.46413,398.24856,1.43864,398.24856,1.45778,398.24856,1.49526,398.24856,1.47943,398.24856,1.65852,398.24856,1.69973,398.24856,1.38666,398.24856,1.42858,398.24856,1.47447,398.24856,1.42603,398.24856,1.4535,398.24856,1.45361,398.24856,1.453,398.24856,1.44673,398.24856,1.43481,398.24856,1.45599,398.24856,1.70796,398.24856,1.94341,398.24856,1.94759,398.24856,1.86788,398.24856,1.86217,398.24856,1.76905,398.24856,1.87249,398.24856,1.95001,398.24856,1.77918,398.24856,1.80009,398.24856,1.86916,398.24856,1.91212,398.24856,1.56247,398.24856,1.57272,398.24856,1.52882,398.24856,1.81808,398.24856,1.56219,398.24856,1.48854,398.24856,1.55561,398.24856,1.53793,398.24856,1.58877,398.24856,1.58554,398.24856,1.55532,398.24856,1.42804,398.24856,1.47328,398.24856,1.46222,398.24856,1.46744,398.24856,1.51318,398.24856,1.47393,398.24856,1.49179,398.24856,1.47711,398.24856,1.50589,398.24856,1.49417,398.24856,1.80307,398.24856,1.95404,398.24856,1.87169,398.24856,1.88852,398.24856,2.11604,398.24856,1.8399,398.24856,1.83097,398.24856,1.84316,398.24856,1.84848,398.24856,1.74724,398.24856,1.86703,398.24856,1.85791,398.24856,1.57066,398.24856,1.56343,398.24856,1.52872,398.24856,1.82824,398.24856,1.59001,398.24856,1.53005,398.24856,1.55005,398.24856,1.53486,398.24856,1.62077,398.24856,1.59905,398.24856,1.55054,398.24856,1.49321,398.24856,1.51804,398.24856,1.50686,398.24856,1.50686,398.24856,1.52679,398.24856,1.54216,398.24856,1.48904,398.24856,1.54205,398.24856,1.55644,398.24856,1.54928
6,398.00749,1.39666,398.00749,1.41209,398.00749,1.46834,398.00749,1.48666,398.00749,1.43233,398.00749,1.45954,398.00749,1.47911,398.00749,1.47629,398.00749,1.47725,398.00749,1.45956,398.00749,1.43698,398.00749,1.65305,398.00749,1.56767,398.00749,1.72341,398.00749,1.56972,398.00749,1.65875,398.00749,1.58022,398.00749,1.62396,398.00749,1.65227,398.00749,1.6003,398.00749,1.61611,398.00749,1.55156,398.00749,1.64974,398.00749,1.65964,398.00749,1.65767,398.00749,1.78051,398.00749,1.46004,398.00749,1.45593,398.00749,1.47804,398.00749,1.70507,398.00749,1.45232,398.00749,1.50236,398.00749,1.46521,398.00749,1.44625,398.00749,1.4715,398.00749,1.50298,398.00749,1.48525,398.00749,1.66678,398.00749,1.67951,398.00749,1.39205,398.00749,1.4365,398.00749,1.47151,398.00749,1.4207,398.00749,1.44612,398.00749,1.45475,398.00749,1.45079,398.00749,1.45486,398.00749,1.44487,398.00749,1.43837,398.00749,1.70832,398.00749,1.91429,398.00749,1.87688,398.00749,1.93547,398.00749,1.8321,398.00749,1.7511,398.00749,1.95878,398.00749,1.82696,398.00749,1.73631,398.00749,1.79552,398.00749,1.79608,398.00749,1.98618,398.00749,1.56855,398.00749,1.5731,398.00749,1.54118,398.00749,1.80454,398.00749,1.55509,398.00749,1.4831,398.00749,1.54239,398.00749,1.54756,398.00749,1.58818,398.00749,1.60024,398.00749,1.56039,398.00749,1.42286,398.00749,1.45461,398.00749,1.46055,398.00749,1.48612,398.00749,1.50882,398.00749,1.47356,398.00749,1.49018,398.00749,1.47725,398.00749,1.51211,398.00749,1.49432,398.00749,1.78894,398.00749,1.93653,398.00749,1.89492,398.00749,1.97138,398.00749,2.19766,398.00749,1.92104,398.00749,1.79777,398.00749,1.81633,398.00749,1.82521,398.00749,1.76487,398.00749,1.83878,398.00749,1.85487,398.00749,1.56987,398.00749,1.54343,398.00749,1.53284,398.00749,1.88773,398.00749,1.60819,398.00749,1.54404,398.00749,1.55608,398.00749,1.53637,398.00749,1.61853,398.00749,1.62856,398.00749,1.53233,398.00749,1.48837,398.00749,1.52663,398.00749,1.49773,398.00749,1.49958,398.00749,1.55818,398.00749,1.53282,398.00749,1.48679,398.00749,1.5547,398.00749,1.56846,398.00749,1.54974
7,397.76642,1.39208,397.76642,1.42183,397.76642,1.46696,397.76642,1.48895,397.76642,1.43688,397.76642,1.4547,397.76642,1.47549,397.76642,1.47154,397.76642,1.47097,397.76642,1.46012,397.76642,1.43837,397.76642,1.6566,397.76642,1.566,397.76642,1.69909,397.76642,1.56658,397.76642,1.67841,397.76642,1.5694,397.76642,1.60403,397.76642,1.69129,397.76642,1.61962,397.76642,1.62983,397.76642,1.58973,397.76642,1.67753,397.76642,1.65313,397.76642,1.6733,397.76642,1.78652,397.76642,1.47679,397.76642,1.45949,397.76642,1.47646,397.76642,1.70712,397.76642,1.45777,397.76642,1.51064,397.76642,1.45811,397.76642,1.47128,397.76642,1.48181,397.76642,1.51074,397.76642,1.49975,397.76642,1.65575,397.76642,1.66223,397.76642,1.39523,397.76642,1.43831,397.76642,1.46286,397.76642,1.42114,397.76642,1.43766,397.76642,1.4539,397.76642,1.44604,397.76642,1.46253,397.76642,1.45767,397.76642,1.42035,397.76642,1.69027,397.76642,1.90293,397.76642,1.84214,397.76642,2.01768,397.76642,1.83841,397.76642,1.72614,397.76642,1.9643,397.76642,1.74399,397.76642,1.68913,397.76642,1.83751,397.76642,1.74829,397.76642,1.97742,397.76642,1.57967,397.76642,1.57525,397.76642,1.54782,397.76642,1.79438,397.76642,1.52047,397.76642,1.48808,397.76642,1.53267,397.76642,1.56546,397.76642,1.57173,397.76642,1.60157,397.76642,1.5639,397.76642,1.41877,397.76642,1.4397,397.76642,1.45678,397.76642,1.50312,397.76642,1.50218,397.76642,1.47296,397.76642,1.49197,397.76642,1.48096,397.76642,1.52271,397.76642,1.49428,397.76642,1.76142,397.76642,1.94481,397.76642,1.91119,397.76642,2.146,397.76642,2.0488,397.76642,1.91452,397.76642,1.75179,397.76642,1.82111,397.76642,1.86448,397.76642,1.78547,397.76642,1.8591,397.76642,1.83708,397.76642,1.55894,397.76642,1.52012,397.76642,1.52858,397.76642,1.92427,397.76642,1.59779,397.76642,1.56364,397.76642,1.56434,397.76642,1.53311,397.76642,1.6165,397.76642,1.63642,397.76642,1.52476,397.76642,1.49134,397.76642,1.52078,397.76642,1.49286,397.76642,1.48641,397.76642,1.58251,397.76642,1.53192,397.76642,1.49444,397.76642,1.55246,397.76642,1.57926,397.76642,1.54839
8,397.52535,1.38998,397.52535,1.43096,397.52535,1.46541,397.52535,1.48786,397.52535,1.4446,397.52535,1.4477,397.52535,1.4688,397.52535,1.46769,397.52535,1.47021,397.52535,1.46285,397.52535,1.43516,397.52535,1.66659,397.52535,1.5933,397.52535,1.68039,397.52535,1.60867,397.52535,1.72309,397.52535,1.56669,397.52535,1.63252,397.52535,1.71641,397.52535,1.62906,397.52535,1.63652,397.52535,1.64465,397.52535,1.74709,397.52535,1.63518,397.52535,1.68918,397.52535,1.74475,397.52535,1.4822,397.52535,1.46357,397.52535,1.47249,397.52535,1.69462,397.52535,1.46052,397.52535,1.52037,397.52535,1.44769,397.52535,1.4995,397.52535,1.4896,397.52535,1.52067,397.52535,1.50476,397.52535,1.64198,397.52535,1.66632,397.52535,1.39818,397.52535,1.43231,397.52535,1.45278,397.52535,1.42419,397.52535,1.43863,397.52535,1.45688,397.52535,1.44875,397.52535,1.46832,397.52535,1.46231,397.52535,1.40965,397.52535,1.67395,397.52535,1.93489,397.52535,1.85694,397.52535,2.06691,397.52535,1.85203,397.52535,1.6897,397.52535,1.9187,397.52535,1.74908,397.52535,1.66704,397.52535,1.87878,397.52535,1.75323,397.52535,1.93006,397.52535,1.58415,397.52535,1.57323,397.52535,1.54663,397.52535,1.81702,397.52535,1.4778,397.52535,1.50163,397.52535,1.54196,397.52535,1.58488,397.52535,1.54636,397.52535,1.57916,397.52535,1.56536,397.52535,1.41195,397.52535,1.43644,397.52535,1.44917,397.52535,1.51446,397.52535,1.49158,397.52535,1.46785,397.52535,1.49924,397.52535,1.48849,397.52535,1.52668,397.52535,1.4917,397.52535,1.72313,397.52535,2.01326,397.52535,1.92179,397.52535,2.24547,397.52535,1.88812,397.52535,1.86,397.52535,1.73496,397.52535,1.88099,397.52535,1.92351,397.52535,1.80083,397.52535,1.90746,397.52535,1.83465,397.52535,1.5534,397.52535,1.50815,397.52535,1.5228,397.52535,1.91328,397.52535,1.58013,397.52535,1.57851,397.52535,1.57119,397.52535,1.52738,397.52535,1.60231,397.52535,1.61425,397.52535,1.53576,397.52535,1.50083,397.52535,1.50832,397.52535,1.50077,397.52535,1.47486,397.52535,1.58567,397.52535,1.53908,397.52535,1.50933,397.52535,1.54201,397.52535,1.58405,397.52535,1.54226
9,397.28428,1.39233,397.28428,1.42961,397.28428,1.4608,397.28428,1.48315,397.28428,1.4503,397.28428,1.44635,397.28428,1.46347,397.28428,1.46947,397.28428,1.46747,397.28428,1.47035,397.28428,1.42767,397.28428,1.68946,397.28428,1.62851,397.28428,1.66496,397.28428,1.67338,397.28428,1.75667,397.28428,1.57344,397.28428,1.69137,397.28428,1.71915,397.28428,1.64202,397.28428,1.61742,397.28428,1.69087,397.28428,1.81518,397.28428,1.61119,397.28428,1.71904,397.28428,1.69243,397.28428,1.46899,397.28428,1.46932,397.28428,1.47109,397.28428,1.68198,397.28428,1.45825,397.28428,1.53312,397.28428,1.4434,397.28428,1.51593,397.28428,1.50046,397.28428,1.53091,397.28428,1.49303,397.28428,1.6462,397.28428,1.68753,397.28428,1.40344,397.28428,1.42732,397.28428,1.44675,397.28428,1.42829,397.28428,1.4488,397.28428,1.46299,397.28428,1.45752,397.28428,1.46677,397.28428,1.45484,397.28428,1.40711,397.28428,1.67408,397.28428,1.97485,397.28428,1.87983,397.28428,2.06786,397.28428,1.84636,397.28428,1.67326,397.28428,1.90527,397.28428,1.83246,397.28428,1.69374,397.28428,1.85561,397.28428,1.81587,397.28428,1.89277,397.28428,1.57514,397.28428,1.55809,397.28428,1.55206,397.28428,1.89529,397.28428,1.46016,397.28428,1.5156,397.28428,1.56254,397.28428,1.59611,397.28428,1.5272,397.28428,1.54857,397.28428,1.56918,397.28428,1.40793,397.28428,1.44117,397.28428,1.44106,397.28428,1.52264,397.28428,1.48004,397.28428,1.45619,397.28428,1.50232,397.28428,1.49475,397.28428,1.5167,397.28428,1.48833,397.28428,1.69313,397.28428,2.06124,397.28428,1.91242,397.28428,2.09993,397.28428,1.81481,397.28428,1.80526,397.28428,1.74508,397.28428,1.96113,397.28428,1.93172,397.28428,1.82028,397.28428,1.94684,397.28428,1.86324,397.28428,1.55878,397.28428,1.51053,397.28428,1.53358,397.28428,1.88554,397.28428,1.57217,397.28428,1.57937,397.28428,1.57774,397.28428,1.52676,397.28428,1.58139,397.28428,1.5783,397.28428,1.56472,397.28428,1.51205,397.28428,1.50249,397.28428,1.51866,397.28428,1.47476,397.28428,1.56602,397.28428,1.5437,397.28428,1.52032,397.28428,1.52962,397.28428,1.58035,397.28428,1.53766
