,Wave Number0,Intensity0,Wave Number1,Intensity1,Wave Number2,Intensity2,Wave Number3,Intensity3,Wave Number4,Intensity4,Wave Number5,Intensity5,Wave Number6,Intensity6,Wave Number7,Intensity7,Wave Number8,Intensity8,Wave Number9,Intensity9,Wave Number10,Intensity10,Wave Number11,Intensity11,Wave Number12,Intensity12,Wave Number13,Intensity13,Wave Number14,Intensity14,Wave Number15,Intensity15,Wave Number16,Intensity16,Wave Number17,Intensity17,Wave Number18,Intensity18,Wave Number19,Intensity19,Wave Number20,Intensity20,Wave Number21,Intensity21,Wave Number22,Intensity22,Wave Number23,Intensity23,Wave Number24,Intensity24,Wave Number25,Intensity25,Wave Number26,Intensity26,Wave Number27,Intensity27,Wave Number28,Intensity28,Wave Number29,Intensity29,Wave Number30,Intensity30,Wave Number31,Intensity31,Wave Number32,Intensity32,Wave Number33,Intensity33,Wave Number34,Intensity34,Wave Number35,Intensity35,Wave Number36,Intensity36,Wave Number37,Intensity37,Wave Number38,Intensity38,Wave Number39,Intensity39,Wave Number40,Intensity40,Wave Number41,Intensity41,Wave Number42,Intensity42,Wave Number43,Intensity43,Wave Number44,Intensity44,Wave Number45,Intensity45,Wave Number46,Intensity46,Wave Number47,Intensity47,Wave Number48,Intensity48,Wave Number49,Intensity49,Wave Number50,Intensity50,Wave Number51,Intensity51,Wave Number52,Intensity52,Wave Number53,Intensity53,Wave Number54,Intensity54,Wave Number55,Intensity55,Wave Number56,Intensity56,Wave Number57,Intensity57,Wave Number58,Intensity58,Wave Number59,Intensity59,Wave Number60,Intensity60,Wave Number61,Intensity61,Wave Number62,Intensity62,Wave Number63,Intensity63,Wave Number64,Intensity64,Wave Number65,Intensity65,Wave Number66,Intensity66,Wave Number67,Intensity67,Wave Number68,Intensity68,Wave Number69,Intensity69,Wave Number70,Intensity70,Wave Number71,Intensity71,Wave Number72,Intensity72,Wave Number73,Intensity73,Wave Number74,Intensity74,Wave Number75,Intensity75,Wave Number76,Intensity76,Wave Number77,Intensity77,Wave Number78,Intensity78,Wave Number79,Intensity79,Wave Number80,Intensity80,Wave Number81,Intensity81,Wave Number82,Intensity82,Wave Number83,Intensity83,Wave Number84,Intensity84,Wave Number85,Intensity85,Wave Number86,Intensity86,Wave Number87,Intensity87,Wave Number88,Intensity88,Wave Number89,Intensity89,Wave Number90,Intensity90,Wave Number91,Intensity91,Wave Number92,Intensity92,Wave Number93,Intensity93,Wave Number94,Intensity94,Wave Number95,Intensity95,Wave Number96,Intensity96,Wave Number97,Intensity97,Wave Number98,Intensity98,Wave Number99,Intensity99,Wave Number100,Intensity100,Wave Number101,Intensity101,Wave Number102,Intensity102,Wave Number103,Intensity103,Wave Number104,Intensity104,Wave Number105,Intensity105,Wave Number106,Intensity106,Wave Number107,Intensity107,Wave Number108,Intensity108,Wave Number109,Intensity109,Wave Number110,Intensity110,Wave Number111,Intensity111,Wave Number112,Intensity112,Wave Number113,Intensity113,Wave Number114,Intensity114,Wave Number115,Intensity115,Wave Number116,Intensity116,Wave Number117,Intensity117,Wave Number118,Intensity118,Wave Number119,Intensity119
0,399.45391,1.40377,399.45391,1.40352,399.45391,1.44629,399.45391,1.4558,399.45391,1.43729,399.45391,1.46473,399.45391,1.47673,399.45391,1.44697,399.45391,1.45008,399.45391,1.46958,399.45391,1.46022,399.45391,2.03396,399.45391,1.95873,399.45391,1.9077,399.45391,1.57354,399.45391,1.78591,399.45391,1.86473,399.45391,1.79362,399.45391,1.75245,399.45391,1.58939,399.45391,1.86598,399.45391,1.70328,399.45391,1.7626,399.45391,1.77365,399.45391,1.89076,399.45391,2.34978,399.45391,1.89949,399.45391,1.66316,399.45391,1.59886,399.45391,1.83075,399.45391,1.68129,399.45391,1.6525,399.45391,1.62558,399.45391,1.58575,399.45391,1.60993,399.45391,1.63743,399.45391,1.63715,399.45391,1.65674,399.45391,1.60407,399.45391,1.62451,399.45391,1.62071,399.45391,1.67192,399.45391,1.68183,399.45391,1.65103,399.45391,1.50569,399.45391,1.54951,399.45391,1.5763,399.45391,1.58372,399.45391,1.52005,399.45391,1.57788,399.45391,1.57263,399.45391,1.56263,399.45391,1.56181,399.45391,1.54272,399.45391,1.81883,399.45391,2.05887,399.45391,1.97193,399.45391,2.01568,399.45391,1.84144,399.45391,1.91402,399.45391,1.81382,399.45391,1.88563,399.45391,1.758,399.45391,2.0664,399.45391,1.92131,399.45391,1.79103,399.45391,1.50825,399.45391,1.57165,399.45391,1.54701,399.45391,1.86349,399.45391,1.53163,399.45391,1.55484,399.45391,1.58112,399.45391,1.53254,399.45391,1.55972,399.45391,1.56168,399.45391,1.5562,399.45391,1.4224,399.45391,1.46503,399.45391,1.50186,399.45391,1.46684,399.45391,1.53738,399.45391,1.47173,399.45391,1.50358,399.45391,1.47438,399.45391,1.49071,399.45391,1.4548,399.45391,1.91289,399.45391,1.94813,399.45391,1.92739,399.45391,1.83509,399.45391,1.84411,399.45391,1.96443,399.45391,1.78283,399.45391,1.83153,399.45391,2.00525,399.45391,1.92314,399.45391,2.08091,399.45391,2.03868,399.45391,1.59441,399.45391,1.60415,399.45391,1.58428,399.45391,1.94206,399.45391,1.63004,399.45391,1.56791,399.45391,1.60493,399.45391,1.60638,399.45391,1.59565,399.45391,1.60392,399.45391,1.64133,399.45391,1.50427,399.45391,1.54095,399.45391,1.55354,399.45391,1.54258,399.45391,1.55438,399.45391,1.55253,399.45391,1.54554,399.45391,1.54234,399.45391,1.57082,399.45391,1.60106
1,399.21284,1.39091,399.21284,1.40243,399.21284,1.44225,399.21284,1.44953,399.21284,1.45177,399.21284,1.46293,399.21284,1.47336,399.21284,1.45205,399.21284,1.45848,399.21284,1.46751,399.21284,1.46058,399.21284,2.09832,399.21284,1.98091,399.21284,1.95888,399.21284,1.5794,399.21284,1.7464,399.21284,1.8213,399.21284,1.75899,399.21284,1.7288,399.21284,1.62699,399.21284,1.85037,399.21284,1.67037,399.21284,1.79248,399.21284,1.74848,399.21284,1.90154,399.21284,2.42972,399.21284,1.86929,399.21284,1.67311,399.21284,1.58479,399.21284,1.85292,399.21284,1.69911,399.21284,1.64116,399.21284,1.60802,399.21284,1.59524,399.21284,1.5914,399.21284,1.61939,399.21284,1.62341,399.21284,1.63714,399.21284,1.59261,399.21284,1.62667,399.21284,1.63272,399.21284,1.65636,399.21284,1.71923,399.21284,1.62654,399.21284,1.51722,399.21284,1.56098,399.21284,1.58135,399.21284,1.58275,399.21284,1.53771,399.21284,1.57455,399.21284,1.57496,399.21284,1.55651,399.21284,1.56104,399.21284,1.53095,399.21284,1.8173,399.21284,2.02586,399.21284,1.94022,399.21284,2.01165,399.21284,1.89171,399.21284,1.86395,399.21284,1.81251,399.21284,1.89744,399.21284,1.77722,399.21284,2.05989,399.21284,1.99718,399.21284,1.79333,399.21284,1.51339,399.21284,1.56679,399.21284,1.55639,399.21284,1.88774,399.21284,1.54296,399.21284,1.56335,399.21284,1.5844,399.21284,1.53858,399.21284,1.57075,399.21284,1.58208,399.21284,1.56529,399.21284,1.42483,399.21284,1.4652,399.21284,1.49634,399.21284,1.47586,399.21284,1.54075,399.21284,1.46961,399.21284,1.50663,399.21284,1.48556,399.21284,1.48631,399.21284,1.44955,399.21284,1.89118,399.21284,1.93316,399.21284,1.96618,399.21284,1.83394,399.21284,1.81848,399.21284,1.98302,399.21284,1.80234,399.21284,1.81063,399.21284,2.11345,399.21284,1.94698,399.21284,2.11438,399.21284,2.11059,399.21284,1.5986,399.21284,1.60889,399.21284,1.57825,399.21284,1.92401,399.21284,1.62836,399.21284,1.55654,399.21284,1.62092,399.21284,1.59865,399.21284,1.60315,399.21284,1.61856,399.21284,1.65749,399.21284,1.50384,399.21284,1.54987,399.21284,1.54325,399.21284,1.53191,399.21284,1.55162,399.21284,1.56229,399.21284,1.54393,399.21284,1.54231,399.21284,1.56969,399.21284,1.60178
2,398.97177,1.39132,398.97177,1.4035,398.97177,1.4434,398.97177,1.44495,398.97177,1.46335,398.97177,1.46337,398.97177,1.46395,398.97177,1.45021,398.97177,1.46689,398.97177,1.46509,398.97177,1.46249,398.97177,2.16262,398.97177,1.99515,398.97177,2.02407,398.97177,1.58835,398.97177,1.73831,398.97177,1.78295,398.97177,1.70956,398.97177,1.71153,398.97177,1.65275,398.97177,1.83324,398.97177,1.65798,398.97177,1.85035,398.97177,1.72894,398.97177,1.8559,398.97177,2.4178,398.97177,1.87633,398.97177,1.68609,398.97177,1.58046,398.97177,1.87328,398.97177,1.69016,398.97177,1.6063,398.97177,1.58715,398.97177,1.60784,398.97177,1.58003,398.97177,1.61589,398.97177,1.62479,398.97177,1.60496,398.97177,1.56847,398.97177,1.62887,398.97177,1.64574,398.97177,1.64174,398.97177,1.75701,398.97177,1.60551,398.97177,1.51257,398.97177,1.56744,398.97177,1.56974,398.97177,1.57901,398.97177,1.56267,398.97177,1.56371,398.97177,1.56424,398.97177,1.55549,398.97177,1.56644,398.97177,1.53606,398.97177,1.81605,398.97177,1.97274,398.97177,1.85206,398.97177,1.98258,398.97177,1.96844,398.97177,1.83962,398.97177,1.7704,398.97177,1.9032,398.97177,1.80439,398.97177,2.00235,398.97177,2.02075,398.97177,1.80765,398.97177,1.51238,398.97177,1.55752,398.97177,1.55599,398.97177,1.91837,398.97177,1.54934,398.97177,1.57272,398.97177,1.57514,398.97177,1.54491,398.97177,1.57828,398.97177,1.60241,398.97177,1.56809,398.97177,1.42575,398.97177,1.46013,398.97177,1.48033,398.97177,1.49199,398.97177,1.53526,398.97177,1.47292,398.97177,1.50727,398.97177,1.49893,398.97177,1.47932,398.97177,1.44802,398.97177,1.84724,398.97177,1.89439,398.97177,2.03095,398.97177,1.86575,398.97177,1.7996,398.97177,1.97105,398.97177,1.83197,398.97177,1.85198,398.97177,2.07784,398.97177,1.94742,398.97177,2.04318,398.97177,2.14438,398.97177,1.60935,398.97177,1.60339,398.97177,1.57246,398.97177,1.89072,398.97177,1.60817,398.97177,1.54166,398.97177,1.61911,398.97177,1.5915,398.97177,1.59508,398.97177,1.64485,398.97177,1.65468,398.97177,1.49018,398.97177,1.54839,398.97177,1.53894,398.97177,1.52164,398.97177,1.54596,398.97177,1.56873,398.97177,1.54633,398.97177,1.54045,398.97177,1.56272,398.97177,1.58886
3,398.7307,1.401,398.7307,1.40728,398.7307,1.4504,398.7307,1.44846,398.7307,1.46489,398.7307,1.45863,398.7307,1.45603,398.7307,1.44566,398.7307,1.4645,398.7307,1.46793,398.7307,1.45749,398.7307,2.23202,398.7307,2.03069,398.7307,2.07432,398.7307,1.59604,398.7307,1.78955,398.7307,1.7593,398.7307,1.67797,398.7307,1.70231,398.7307,1.65135,398.7307,1.81753,398.7307,1.66645,398.7307,1.89899,398.7307,1.73585,398.7307,1.81359,398.7307,2.30492,398.7307,1.91889,398.7307,1.699,398.7307,1.59221,398.7307,1.84006,398.7307,1.68051,398.7307,1.56724,398.7307,1.58808,398.7307,1.61277,398.7307,1.58888,398.7307,1.61831,398.7307,1.63495,398.7307,1.57982,398.7307,1.53493,398.7307,1.63514,398.7307,1.65982,398.7307,1.62422,398.7307,1.77359,398.7307,1.60057,398.7307,1.49747,398.7307,1.56882,398.7307,1.54477,398.7307,1.57574,398.7307,1.58006,398.7307,1.54663,398.7307,1.5447,398.7307,1.5637,398.7307,1.58026,398.7307,1.55034,398.7307,1.7891,398.7307,1.91702,398.7307,1.77545,398.7307,1.95108,398.7307,1.95323,398.7307,1.83761,398.7307,1.72392,398.7307,1.90873,398.7307,1.84429,398.7307,2.01625,398.7307,2.00058,398.7307,1.82895,398.7307,1.50565,398.7307,1.56188,398.7307,1.54763,398.7307,1.95505,398.7307,1.54232,398.7307,1.56365,398.7307,1.55932,398.7307,1.55488,398.7307,1.57259,398.7307,1.61393,398.7307,1.56144,398.7307,1.42481,398.7307,1.45815,398.7307,1.46798,398.7307,1.49619,398.7307,1.52554,398.7307,1.4819,398.7307,1.50617,398.7307,1.50869,398.7307,1.47472,398.7307,1.45404,398.7307,1.81214,398.7307,1.85344,398.7307,2.08437,398.7307,1.94975,398.7307,1.8148,398.7307,1.94902,398.7307,1.84073,398.7307,1.9308,398.7307,1.98857,398.7307,1.941,398.7307,1.92642,398.7307,2.16645,398.7307,1.61104,398.7307,1.59628,398.7307,1.5745,398.7307,1.88258,398.7307,1.58537,398.7307,1.52267,398.7307,1.59103,398.7307,1.59301,398.7307,1.58439,398.7307,1.66256,398.7307,1.64041,398.7307,1.47546,398.7307,1.53858,398.7307,1.54087,398.7307,1.51193,398.7307,1.53144,398.7307,1.57102,398.7307,1.5492,398.7307,1.53991,398.7307,1.55749,398.7307,1.57915
4,398.48963,1.40765,398.48963,1.41235,398.48963,1.45803,398.48963,1.46131,398.48963,1.45857,398.48963,1.44749,398.48963,1.4526,398.48963,1.44606,398.48963,1.45046,398.48963,1.47533,398.48963,1.44642,398.48963,2.27684,398.48963,2.12513,398.48963,2.08236,398.48963,1.59592,398.48963,1.84334,398.48963,1.76088,398.48963,1.66913,398.48963,1.68942,398.48963,1.63314,398.48963,1.79407,398.48963,1.67918,398.48963,1.87422,398.48963,1.77496,398.48963,1.76722,398.48963,2.20268,398.48963,1.95897,398.48963,1.69917,398.48963,1.61693,398.48963,1.78928,398.48963,1.70183,398.48963,1.53758,398.48963,1.6202,398.48963,1.605,398.48963,1.61431,398.48963,1.62124,398.48963,1.64395,398.48963,1.57182,398.48963,1.51575,398.48963,1.63322,398.48963,1.67484,398.48963,1.60292,398.48963,1.78051,398.48963,1.60811,398.48963,1.48598,398.48963,1.56367,398.48963,1.51866,398.48963,1.57444,398.48963,1.58578,398.48963,1.53248,398.48963,1.52912,398.48963,1.57056,398.48963,1.59705,398.48963,1.56089,398.48963,1.74703,398.48963,1.90656,398.48963,1.73683,398.48963,1.93752,398.48963,1.86488,398.48963,1.85708,398.48963,1.71972,398.48963,1.90392,398.48963,1.94503,398.48963,2.07813,398.48963,2.00118,398.48963,1.85743,398.48963,1.50314,398.48963,1.57969,398.48963,1.53988,398.48963,1.98757,398.48963,1.52957,398.48963,1.53923,398.48963,1.54961,398.48963,1.56897,398.48963,1.55562,398.48963,1.61442,398.48963,1.55456,398.48963,1.42563,398.48963,1.46579,398.48963,1.467,398.48963,1.48299,398.48963,1.51412,398.48963,1.49014,398.48963,1.50482,398.48963,1.51224,398.48963,1.47512,398.48963,1.46691,398.48963,1.8044,398.48963,1.85203,398.48963,2.10814,398.48963,2.07884,398.48963,1.8843,398.48963,1.95417,398.48963,1.82318,398.48963,1.98414,398.48963,1.91267,398.48963,1.9235,398.48963,1.85467,398.48963,2.20521,398.48963,1.60133,398.48963,1.58956,398.48963,1.58762,398.48963,1.90655,398.48963,1.58211,398.48963,1.50691,398.48963,1.55097,398.48963,1.60259,398.48963,1.58296,398.48963,1.66178,398.48963,1.62186,398.48963,1.46989,398.48963,1.5309,398.48963,1.54486,398.48963,1.50364,398.48963,1.51712,398.48963,1.56631,398.48963,1.54764,398.48963,1.5392,398.48963,1.56205,398.48963,1.5804
5,398.24856,1.40632,398.24856,1.41718,398.24856,1.45873,398.24856,1.47331,398.24856,1.44989,398.24856,1.43771,398.24856,1.45106,398.24856,1.45319,398.24856,1.436,398.24856,1.47956,398.24856,1.43832,398.24856,2.22994,398.24856,2.21468,398.24856,2.06004,398.24856,1.5853,398.24856,1.85603,398.24856,1.75884,398.24856,1.66648,398.24856,1.67637,398.24856,1.61289,398.24856,1.75995,398.24856,1.68091,398.24856,1.84765,398.24856,1.82429,398.24856,1.70813,398.24856,2.14511,398.24856,1.9645,398.24856,1.67599,398.24856,1.64115,398.24856,1.76215,398.24856,1.76114,398.24856,1.52654,398.24856,1.6622,398.24856,1.59031,398.24856,1.64243,398.24856,1.62589,398.24856,1.64441,398.24856,1.57728,398.24856,1.52258,398.24856,1.6144,398.24856,1.68626,398.24856,1.58334,398.24856,1.77957,398.24856,1.61865,398.24856,1.4861,398.24856,1.55255,398.24856,1.50176,398.24856,1.57194,398.24856,1.58405,398.24856,1.53217,398.24856,1.52762,398.24856,1.56555,398.24856,1.60288,398.24856,1.56782,398.24856,1.72989,398.24856,1.92808,398.24856,1.73514,398.24856,1.93975,398.24856,1.80701,398.24856,1.88937,398.24856,1.7828,398.24856,1.90906,398.24856,2.10721,398.24856,2.10126,398.24856,2.08026,398.24856,1.8761,398.24856,1.51062,398.24856,1.59059,398.24856,1.53672,398.24856,1.98748,398.24856,1.52525,398.24856,1.51537,398.24856,1.5496,398.24856,1.58118,398.24856,1.54282,398.24856,1.60462,398.24856,1.5614,398.24856,1.4293,398.24856,1.48031,398.24856,1.47616,398.24856,1.46494,398.24856,1.50043,398.24856,1.49247,398.24856,1.50411,398.24856,1.51125,398.24856,1.47751,398.24856,1.4811,398.24856,1.80874,398.24856,1.91257,398.24856,2.11162,398.24856,2.18576,398.24856,1.99068,398.24856,1.95231,398.24856,1.82699,398.24856,1.98082,398.24856,1.88995,398.24856,1.89833,398.24856,1.85051,398.24856,2.22725,398.24856,1.58648,398.24856,1.5733,398.24856,1.60009,398.24856,1.94214,398.24856,1.60697,398.24856,1.50729,398.24856,1.52332,398.24856,1.61508,398.24856,1.58951,398.24856,1.64471,398.24856,1.59974,398.24856,1.47406,398.24856,1.53222,398.24856,1.54704,398.24856,1.50111,398.24856,1.51154,398.24856,1.554,398.24856,1.5436,398.24856,1.53507,398.24856,1.57114,398.24856,1.59089
6,398.00749,1.40215,398.00749,1.42137,398.00749,1.45042,398.00749,1.47345,398.00749,1.44185,398.00749,1.43483,398.00749,1.4509,398.00749,1.46442,398.00749,1.43167,398.00749,1.47802,398.00749,1.43525,398.00749,2.13041,398.00749,2.1767,398.00749,2.04539,398.00749,1.57129,398.00749,1.87875,398.00749,1.74363,398.00749,1.66838,398.00749,1.67825,398.00749,1.59934,398.00749,1.72315,398.00749,1.67303,398.00749,1.82232,398.00749,1.83881,398.00749,1.65809,398.00749,2.12722,398.00749,1.96261,398.00749,1.63846,398.00749,1.64967,398.00749,1.76928,398.00749,1.8089,398.00749,1.54019,398.00749,1.67165,398.00749,1.57999,398.00749,1.65553,398.00749,1.62898,398.00749,1.63424,398.00749,1.59082,398.00749,1.54276,398.00749,1.59188,398.00749,1.69153,398.00749,1.56987,398.00749,1.74857,398.00749,1.63971,398.00749,1.49805,398.00749,1.54009,398.00749,1.49827,398.00749,1.56363,398.00749,1.57829,398.00749,1.54166,398.00749,1.5407,398.00749,1.54969,398.00749,1.58766,398.00749,1.57668,398.00749,1.74799,398.00749,1.92316,398.00749,1.7718,398.00749,1.93064,398.00749,1.80041,398.00749,1.91323,398.00749,1.89757,398.00749,1.93744,398.00749,2.13512,398.00749,2.15174,398.00749,2.20058,398.00749,1.87774,398.00749,1.52488,398.00749,1.58248,398.00749,1.53373,398.00749,1.95218,398.00749,1.53321,398.00749,1.49983,398.00749,1.54632,398.00749,1.58584,398.00749,1.54506,398.00749,1.58581,398.00749,1.58383,398.00749,1.43283,398.00749,1.48827,398.00749,1.48717,398.00749,1.45631,398.00749,1.48586,398.00749,1.49221,398.00749,1.50439,398.00749,1.50743,398.00749,1.48006,398.00749,1.49083,398.00749,1.81973,398.00749,1.98879,398.00749,2.10655,398.00749,2.21115,398.00749,2.06444,398.00749,1.91709,398.00749,1.92889,398.00749,1.97174,398.00749,1.91124,398.00749,1.86846,398.00749,1.90875,398.00749,2.17926,398.00749,1.57049,398.00749,1.55024,398.00749,1.59598,398.00749,1.96057,398.00749,1.64157,398.00749,1.52728,398.00749,1.518,398.00749,1.6274,398.00749,1.5937,398.00749,1.61956,398.00749,1.57551,398.00749,1.47932,398.00749,1.5382,398.00749,1.54599,398.00749,1.5083,398.00749,1.51174,398.00749,1.54164,398.00749,1.54146,398.00749,1.52687,398.00749,1.5732,398.00749,1.60399
7,397.76642,1.39988,397.76642,1.42371,397.76642,1.43923,397.76642,1.46773,397.76642,1.43651,397.76642,1.43593,397.76642,1.45435,397.76642,1.47702,397.76642,1.4384,397.76642,1.47647,397.76642,1.43054,397.76642,2.0605,397.76642,2.08568,397.76642,2.06744,397.76642,1.56479,397.76642,1.894,397.76642,1.73633,397.76642,1.67682,397.76642,1.6905,397.76642,1.59676,397.76642,1.71521,397.76642,1.66883,397.76642,1.78864,397.76642,1.86681,397.76642,1.64089,397.76642,2.16187,397.76642,1.98811,397.76642,1.60699,397.76642,1.63419,397.76642,1.79342,397.76642,1.78592,397.76642,1.57352,397.76642,1.63943,397.76642,1.58209,397.76642,1.6436,397.76642,1.62481,397.76642,1.61915,397.76642,1.61114,397.76642,1.55782,397.76642,1.58535,397.76642,1.69054,397.76642,1.56392,397.76642,1.69433,397.76642,1.68084,397.76642,1.51597,397.76642,1.53107,397.76642,1.50782,397.76642,1.54951,397.76642,1.5677,397.76642,1.54714,397.76642,1.5585,397.76642,1.53107,397.76642,1.55668,397.76642,1.58294,397.76642,1.77243,397.76642,1.89685,397.76642,1.84049,397.76642,1.89484,397.76642,1.80892,397.76642,1.88997,397.76642,1.98209,397.76642,1.98388,397.76642,2.02123,397.76642,2.23753,397.76642,2.21359,397.76642,1.87341,397.76642,1.53638,397.76642,1.56509,397.76642,1.52406,397.76642,1.91937,397.76642,1.54107,397.76642,1.48928,397.76642,1.5262,397.76642,1.58552,397.76642,1.55429,397.76642,1.56425,397.76642,1.6029,397.76642,1.4328,397.76642,1.47932,397.76642,1.49122,397.76642,1.46121,397.76642,1.47512,397.76642,1.49569,397.76642,1.50582,397.76642,1.50012,397.76642,1.48453,397.76642,1.49315,397.76642,1.84617,397.76642,2.01873,397.76642,2.14582,397.76642,2.20744,397.76642,2.07485,397.76642,1.84633,397.76642,2.0975,397.76642,1.98688,397.76642,1.89536,397.76642,1.87005,397.76642,2.02129,397.76642,2.12894,397.76642,1.55708,397.76642,1.53526,397.76642,1.58144,397.76642,1.94838,397.76642,1.64884,397.76642,1.55507,397.76642,1.52888,397.76642,1.63663,397.76642,1.58698,397.76642,1.60063,397.76642,1.55357,397.76642,1.47511,397.76642,1.54193,397.76642,1.54355,397.76642,1.52167,397.76642,1.51176,397.76642,1.53887,397.76642,1.5422,397.76642,1.51791,397.76642,1.56639,397.76642,1.60883
8,397.52535,1.40104,397.52535,1.42442,397.52535,1.43427,397.52535,1.47258,397.52535,1.43625,397.52535,1.43563,397.52535,1.45999,397.52535,1.48767,397.52535,1.4519,397.52535,1.4789,397.52535,1.42293,397.52535,2.03445,397.52535,1.98536,397.52535,2.12415,397.52535,1.57046,397.52535,1.88844,397.52535,1.72579,397.52535,1.68216,397.52535,1.70126,397.52535,1.60736,397.52535,1.75317,397.52535,1.67792,397.52535,1.78767,397.52535,1.84222,397.52535,1.67173,397.52535,2.2318,397.52535,2.02794,397.52535,1.59556,397.52535,1.60127,397.52535,1.79544,397.52535,1.72391,397.52535,1.60713,397.52535,1.60544,397.52535,1.59648,397.52535,1.61584,397.52535,1.61879,397.52535,1.60764,397.52535,1.62797,397.52535,1.56518,397.52535,1.60469,397.52535,1.67869,397.52535,1.56904,397.52535,1.65903,397.52535,1.72229,397.52535,1.52799,397.52535,1.52734,397.52535,1.52574,397.52535,1.53494,397.52535,1.55387,397.52535,1.54794,397.52535,1.56541,397.52535,1.51838,397.52535,1.52626,397.52535,1.57461,397.52535,1.72717,397.52535,1.87004,397.52535,1.90629,397.52535,1.84438,397.52535,1.80619,397.52535,1.83721,397.52535,1.97149,397.52535,2.05557,397.52535,1.93142,397.52535,2.22648,397.52535,2.18196,397.52535,1.85465,397.52535,1.53487,397.52535,1.55245,397.52535,1.50829,397.52535,1.9213,397.52535,1.53929,397.52535,1.47904,397.52535,1.49699,397.52535,1.58646,397.52535,1.55502,397.52535,1.55169,397.52535,1.59631,397.52535,1.42896,397.52535,1.46128,397.52535,1.48939,397.52535,1.47377,397.52535,1.47307,397.52535,1.50222,397.52535,1.50566,397.52535,1.49188,397.52535,1.48821,397.52535,1.48663,397.52535,1.86404,397.52535,2.04381,397.52535,2.22529,397.52535,2.20855,397.52535,2.07968,397.52535,1.76429,397.52535,2.11421,397.52535,2.00141,397.52535,1.8511,397.52535,1.93048,397.52535,2.16057,397.52535,2.16084,397.52535,1.55359,397.52535,1.53258,397.52535,1.57911,397.52535,1.92946,397.52535,1.61908,397.52535,1.57487,397.52535,1.54556,397.52535,1.63739,397.52535,1.57636,397.52535,1.59499,397.52535,1.53684,397.52535,1.46008,397.52535,1.54484,397.52535,1.54134,397.52535,1.53191,397.52535,1.51418,397.52535,1.54641,397.52535,1.54315,397.52535,1.51251,397.52535,1.55852,397.52535,1.59613
9,397.28428,1.40705,397.28428,1.42656,397.28428,1.44059,397.28428,1.48986,397.28428,1.44009,397.28428,1.43402,397.28428,1.46148,397.28428,1.49094,397.28428,1.4684,397.28428,1.48293,397.28428,1.4203,397.28428,2.04558,397.28428,1.89165,397.28428,2.1826,397.28428,1.58418,397.28428,1.89,397.28428,1.70782,397.28428,1.68321,397.28428,1.7335,397.28428,1.6283,397.28428,1.81318,397.28428,1.6924,397.28428,1.79819,397.28428,1.77742,397.28428,1.74426,397.28428,2.28918,397.28428,2.04838,397.28428,1.60347,397.28428,1.57329,397.28428,1.75971,397.28428,1.67124,397.28428,1.62192,397.28428,1.59904,397.28428,1.61499,397.28428,1.59203,397.28428,1.62378,397.28428,1.59907,397.28428,1.6225,397.28428,1.57639,397.28428,1.64221,397.28428,1.65404,397.28428,1.58732,397.28428,1.66088,397.28428,1.73144,397.28428,1.52167,397.28428,1.52678,397.28428,1.54445,397.28428,1.52552,397.28428,1.5451,397.28428,1.5542,397.28428,1.55499,397.28428,1.5172,397.28428,1.51186,397.28428,1.55006,397.28428,1.69187,397.28428,1.84329,397.28428,1.95248,397.28428,1.7931,397.28428,1.80638,397.28428,1.81775,397.28428,1.91555,397.28428,2.16681,397.28428,1.85608,397.28428,2.14451,397.28428,2.16327,397.28428,1.83099,397.28428,1.51944,397.28428,1.54806,397.28428,1.49832,397.28428,1.94809,397.28428,1.53327,397.28428,1.47226,397.28428,1.47851,397.28428,1.59092,397.28428,1.54844,397.28428,1.55256,397.28428,1.57015,397.28428,1.42441,397.28428,1.4513,397.28428,1.49056,397.28428,1.48386,397.28428,1.48068,397.28428,1.50442,397.28428,1.50055,397.28428,1.48851,397.28428,1.48234,397.28428,1.47363,397.28428,1.84451,397.28428,2.08737,397.28428,2.21107,397.28428,2.20606,397.28428,2.14031,397.28428,1.70001,397.28428,1.98476,397.28428,2.003,397.28428,1.86482,397.28428,1.98172,397.28428,2.23397,397.28428,2.253,397.28428,1.56403,397.28428,1.53456,397.28428,1.59788,397.28428,1.93578,397.28428,1.58277,397.28428,1.58224,397.28428,1.56058,397.28428,1.62607,397.28428,1.57785,397.28428,1.59465,397.28428,1.52658,397.28428,1.44317,397.28428,1.54962,397.28428,1.536,397.28428,1.53644,397.28428,1.52243,397.28428,1.55663,397.28428,1.53958,397.28428,1.5107,397.28428,1.55569,397.28428,1.56816
